"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"Zachary Edward ""Zack"" Snyder (born March 1, 1966) is an American film director, screenwriter, and producer. After making his feature film debut with the 2004 remake Dawn of the Dead, he gained wide recognition with the 2007 box office hit 300, adapted from writer-artist Frank Miller's Dark Horse Comics miniseries of the same name, and later went on to direct the 2009 superhero film Watchmen, an adaptation of the comic book of the same name. He is the co-founder of Cruel and Unusual Films, a production company he established in 2004, alongside his wife Deborah Snyder and producing partner Wesley Coller. His first family film was the 2010 animated family adventure film Legend of the Guardians: The Owls of Ga'Hoole, based on the first three books of the series by Kathryn Lasky.

Description above from the Wikipedia article Zack Snyder, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-03-01",,2,"Zack Snyder","Green Bay, Wisconsin, USA",0.0
"Bryan Singer (born September 17, 1965) is an American film director and film producer. Singer won critical acclaim for his work on The Usual Suspects, and is especially well-known among fans of the science fiction and comic book genres for his work on the first two X-Men films and Superman Returns.

Description above from the Wikipedia article Bryan Singer, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1965-09-17",,2,"Bryan Singer","New York City, New York, USA",0.0
"From Wikipedia, the free encyclopedia.   

Marc Forster (Illertissen, November 30, 1969) is a German-Swiss filmmaker and screenwriter, known for films such as Monster's Ball, Finding Neverland, Stranger than Fiction, The Kite Runner, and the James Bond film Quantum of Solace.

Description above from the Wikipedia article Marc Forster, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1969-11-30",,2,"Marc Forster","Illertissen, Germany",395.0
"From Wikipedia, the free encyclopedia.  Andrew Ralph Adamson, MNZM (born 1 December 1966) is a New Zealand film director, producer and screenwriter based mainly in Los Angeles, California, U.S., where he made the blockbuster animation films, Shrek and Shrek 2 for which he received an Academy Award nomination. He was director, executive producer, and scriptwriter for C. S. Lewis' The Lion, the Witch, and the Wardrobe. Shooting took place in New Zealand, primarily in and around Auckland, but also in South Island where much of Peter Jackson's The Lord of the Rings trilogy was filmed. He also worked on the movies Batman Forever and Batman &amp; Robin as a visual effects supervisor.

He was made a Member of the New Zealand Order of Merit in the 2006 Queen's Birthday Honours List.

Description above from the Wikipedia article Andrew Adamson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-12-01",,2,"Andrew Adamson","Auckland, New Zealand",80.0
"From Wikipedia, the free encyclopedia

Rob Marshall (born October 17, 1960) is an American theater director, film director and choreographer. He is a six-time Tony Award nominee, Academy Award nominee, Golden Globe nominee and four-time Emmy winner whose most noted work is the 2002 Academy Award Best Picture winner Chicago.

Marshall was born in Madison, Wisconsin and raised in Pittsburgh, Pennsylvania. He debuted in the film industry with the Emmy Award-wining TV adaptation of the musical Annie by Charles Strouse and Martin Charnin. After that he went on to direct the much anticipated adaptation of the Kander and Ebb musical Chicago in 2002 for which he was nominated for an Academy Award for Best Director. His next feature film was the drama Memoirs of a Geisha based on the best-selling book of the same name by Arthur Golden starring Zhang Ziyi, Gong Li, Michelle Yeoh and Ken Watanabe. The film went on to win three Academy Awards and gross $162,242,962 at the worldwide box office. In 2009, Marshall directed Nine, an adaptation of the hit Broadway production with the same name starring Daniel Day-Lewis, Marion Cotillard, Nicole Kidman, Sophia Loren and Pen  lope Cruz, who was nominated for an Academy Award for Best Supporting Actress. Marshall then went on to direct Pirates of the Caribbean: On Stranger Tides, the fourth chapter of Disney's Pirates of the Caribbean film series starring Johnny Depp, Ian McShane, Pen  lope Cruz and Geoffrey Rush, which is set to open on May 20, 2011.

Description above from the Wikipedia article Rob Marshall, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1960-10-17",,2,"Rob Marshall","Madison, Wisconsin, USA",252.0
"From Wikipedia, the free encyclopedia.

Barry Sonnenfeld (born April 1, 1953) is an American filmmaker and television director. He worked as cinematographer for the Coen Brothers, then later he directed and produced big budget films such as Men in Black.

Description above from the Wikipedia article Barry Sonnenfeld, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1953-04-01",,0,"Barry Sonnenfeld","New York City, New York, USA",188.0
"Sir Peter Robert Jackson, (born 31 October 1961) is a New Zealand film director, producer, actor, and screenwriter, known for his Lord of the Rings film trilogy, adapted from the novel by J. R. R. Tolkien. He is also known for his 2005 remake of King Kong and as the producer of District 9. He won international attention early in his career with his ""splatstick"" horror comedies, before coming to mainstream prominence with Heavenly Creatures, for which he shared an Academy Award Best Screenplay nomination with his wife, Fran Walsh. Jackson has been awarded three Academy Awards in his career, including the award for Best Director in 2003.

Description above from the Wikipedia article Peter Jackson, licensed under CC-BY-SA, full list of contributors on Wikipedia","1961-10-31",,2,"Peter Jackson","Pukerua Bay, North Island, New Zealand",0.0
"From Wikipedia, the free encyclopedia

Marc Preston Webb[1] (born August 31, 1974) is an American music video, short film, and film director. He made his feature film directorial debut with the 2009 romantic comedy-drama (500) Days of Summer and went on to direct the 2012 Spider-Man reboot The Amazing Spider-Man and its sequel The Amazing Spider-Man 2 in 2014.

Description above from the Wikipedia article Marc Webb, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1974-08-31",,2,"Marc Webb","Bloomington, Indiana",464.0
"Scott was born in South Shields, Tyne and Wear, England, the son of Elizabeth and Colonel Francis Percy Scott. He was raised in an Army family, meaning that for most of his early life, his father     an officer in the Royal Engineers     was absent. Ridley's older brother, Frank, joined the Merchant Navy when he was still young and the pair had little contact. During this time the family moved around, living in (among other areas) Cumbria, Wales and Germany. He has a younger brother, Tony, also a film director. After the Second World War, the Scott family moved back to their native north-east England, eventually settling in Teesside (whose industrial landscape would later inspire similar scenes in Blade Runner). He enjoyed watching films, and his favourites include Lawrence of Arabia, Citizen Kane and Seven Samurai. Scott studied in Teesside from 1954 to 1958, at Grangefield Grammar School and later in West Hartlepool College of Art, graduating with a Diploma in Design. He progressed to an M.A. in graphic design at the Royal College of Art from 1960 to 1962.

At the RCA he contributed to the college magazine, ARK and helped to establish its film department. For his final show, he made a black and white short film, Boy and Bicycle, starring his younger brother, Tony Scott, and his father. The film's main visual elements would become features of Scott's later work; it was issued on the 'Extras' section of The Duellists DVD. After graduation in 1963, he secured a job as a trainee set designer with the BBC, leading to work on the popular television police series Z-Cars and the science fiction series Out of the Unknown. Scott was an admirer of Stanley Kubrick early in his development as a director. For his entry to the BBC traineeship, Scott remade Paths of Glory as a short film.

He was assigned to design the second Doctor Who serial, The Daleks, which would have entailed realising the famous alien creatures. However, shortly before Scott was due to start work, a schedule conflict meant that he was replaced on the serial by Raymond Cusick.

At the BBC, Scott was placed into a director training programme and, before he left the corporation, had directed episodes of Z-Cars, its spin-off, Softly, Softly, and adventure series Adam Adamant Lives!

In 1968, Ridley and Tony Scott founded Ridley Scott Associates (RSA), a film and commercial production company.Five members of the Scott family are directors, all working for RSA. Brother Tony has been a successful film director for more than two decades; sons, Jake and Luke are both acclaimed commercials directors as is his daughter, Jordan Scott. Jake and Jordan both work from Los Angeles and Luke is based in London.

In 1995, Shepperton Studios was purchased by a consortium headed by Ridley and Tony Scott, which extensively renovated the studios while also expanding and improving its grounds.","1937-11-30",,2,"Ridley Scott","South Shields, County Durham, England, UK",0.0
"From Wikipedia, the free encyclopedia

Christopher John ""Chris"" Weitz (born November 30, 1969) is an American producer, writer, director and actor. He is best known for his work with his brother, Paul Weitz, on the comedy films American Pie and About a Boy, as well as directing the film adaptation of the novel The Golden Compass and the film adaptation of New Moon from the series of Twilight books.

Description above from the Wikipedia article Chris Weitz, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1969-11-30",,0,"Chris Weitz","New York City, New York",129.0
"From Wikipedia, the free encyclopedia

Anthony and Joe Russo, known together professionally as the Russo brothers, are Emmy Award-winning American film and television directors. The brothers direct most of their work jointly, and they also occasionally work as producers, actors, and editors. The Russos are from Cleveland, Ohio, and were born a year apart. They are alumni of Case Western Reserve University.","1973-06-02",,2,"Anthony Russo","Cleveland, Ohio, U.S.",94.0
"Peter Berg (born March 11, 1964) is an American actor, film director, producer and writer. He is known for directing films such as Friday Night Lights, The Kingdom, The Rundown, Hancock and Battleship. He is very highly recognized for developing the television series Friday Night Lights for television. It was based on the film of the of the same name which he also directed. As an actor he is best known for his role as Dr. Billy Kronk on the CBS medical drama Chicago Hope.

Description above from the Wikipedia article Peter Berg, licensed under CC-BY-SA, full list of contributors on Wikipedia","1964-03-11",,2,"Peter Berg","New York City, New York, USA",532.0
"Colin Trevorrow  (born September 13, 1976) is an  American  film director  and  screenwriter, known as the director of the 2012  indie  film  Safety Not Guaranteed  and the 2015  Jurassic Park  sequel,  Jurassic World, which he also co-wrote.","1976-09-13",,2,"Colin Trevorrow",,365.0
"From Wikipedia, the free encyclopedia.

Shane Black (born December 16, 1961) is an American actor, screenwriter and film director. He contributed to some of the biggest blockbuster action films of the late 1980s and early 1990s, including work on Lethal Weapon and The Last Boy Scout.

Description above from the Wikipedia article Shane Black, licensed under CC-BY-SA, full list of contributors on Wikipedia","1961-12-16",,2,"Shane Black","Pittsburgh, Pennsylvania, USA",1000.0
"Timothy Walter ""Tim"" Burton (born August 25, 1958) is an American film director, film producer, writer and artist. He is famous for dark, quirky-themed movies such as Beetlejuice, Edward Scissorhands, The Nightmare Before Christmas, Sleepy Hollow, Corpse Bride and Sweeney Todd: The Demon Barber of Fleet Street, and for blockbusters such as Pee-wee's Big Adventure, Batman, Batman Returns, Planet of the Apes, Charlie and the Chocolate Factory and Alice in Wonderland, his most recent film, that was the second highest-grossing film of 2010 as well as the sixth highest-grossing film of all time. Among Burton's many collaborators are Johnny Depp, who became a close friend since their film together, musician Danny Elfman (who has composed for all but five of the films Burton has directed and/or produced) and domestic partner Helena Bonham Carter. He also wrote and illustrated the poetry book The Melancholy Death of Oyster Boy &amp; Other Stories, published in 1997, and a compilation of his drawings, entitled The Art of Tim Burton, was released in 2009. Burton has directed 14 films as of 2010, and has produced 10 as of 2009. His next films are a film adaptation of soap opera Dark Shadows, which is slated to begin production in January 2011 and a remake of his short Frankenweenie, which will be released on October 5, 2012. Description above from the Wikipedia article Tim Burton, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1958-08-25",,2,"Tim Burton","Burbank, California, USA",13000.0
"Brett Ratner (born March 28, 1969 in Miami Beach) is an American filmmaker.

He directed several music videos and the action comedy Money Talks (1997), before reaching commercial success with the action-comedy Rush Hour (1998), starring Jackie Chan and Chris Tucker, both of whom reunited with Ratner for two sequels.","1969-03-28",,2,"Brett Ratner","Miami Beach, Florida, USA",420.0
"From Wikipedia, the free encyclopedia.

Dan Scanlon was an animator for The Indescribable Nth and Joseph: King of Dreams. He served as a storyboard artist for The Little Mermaid II: Return to the Sea and 101 Dalmatians II: Patch's London Adventure. He is the director of the upcoming Pixar film Monsters University, due to release in 2013.

Scanlon currently works at Pixar, and was a story artist for Cars and Toy Story 3. He co-directed the short film Mater and the Ghostlight. He illustrated part one of Unmentionables a comic book written by his wife, Michele Scanlon, and wrote and directed the live action feature film Tracy. Tracy was Scanlon   s first feature film as a writer/director. He was recently announced as the director of the June 2013 Pixar film, Monsters University.

Scanlon graduated with a BFA from the Columbus College of Art and Design in 1998. He has worked professionally in the animation industry as a story artist for the last ten years.

Scanlon and his wife live in San Francisco and work together on projects under the production company name Caveat Productions

Description above from the Wikipedia article Dan Scanlon, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-06-21",,2,"Dan Scanlon","Michigan - USA",37.0
"Michael Benjamin Bay (born February 17, 1965) is an American film director and producer. He is best known for directing high-budget action films characterized by fast edits, polished visuals and substantial use of practical effects. His films, which include The Rock, Armageddon, Pearl Harbor and the Bad Boys and Transformers series, have grossed over three billion dollars world-wide. He is co-founder of commercial production house The Institute , a.k.a. The Institute for the Development of Enhanced Perceptual Awareness.He is co-chair and part-owner of the special effects house Digital Domain. He co-owns Platinum Dunes, a production house which has remade horror movies including Friday the 13th, The Texas Chainsaw Massacre and A Nightmare on Elm Street.","1965-02-17",,2,"Michael Bay","Los Angeles, California, USA",0.0
"From Wikipedia, the free encyclopedia.   

Joseph Kosinski (born May 3, 1974) is an American television commercial and feature film director best known for his computer graphics and computer generated imagery work. He made his big-screen directorial debut with the Disney Digital 3-D science fiction film Tron: Legacy, the sequel to the 1982 film Tron. His previous work has primarily been with CGI related television commercials including the ""Starry Night"" commercial for Halo 3 and the award-winning ""Mad World"" commercial for Gears of War.

Description above from the Wikipedia article Joseph Kosinski, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1974-05-03",,2,"Joseph Kosinski","USA",364.0
"John Alan Lasseter (born January 12, 1957) is an American animator, director and the chief creative officer at Pixar and Walt Disney Animation Studios. He is also currently the Principal Creative Advisor for Walt Disney Imagineering.

Lasseter's first job was with The Walt Disney Company, where he became an animator. Next, he joined Lucasfilm, where he worked on the then-groundbreaking use of CGI animation. After Lucasfilm became Pixar in 1986, Lasseter oversaw all of Pixar's films and associated projects as executive producer and he directed Toy Story, A Bug's Life, Toy Story 2, Cars, ""Toy Story 3"" and ""Cars 2""

He has won two Academy Awards, for Animated Short Film (Tin Toy), as well as a Special Achievement Award (Toy Story).

Description above from the Wikipedia article John Lasseter, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1957-01-12",,2,"John Lasseter","Hollywood, California, USA",487.0
"From Wikipedia, the free encyclopedia.

Martin Campbell (born 24 October 1944) is a New Zealand TV and film director.

Description above from the Wikipedia article Martin Campbell, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1943-10-24",,2,"Martin Campbell","Oklahoma City, Oklahoma, USA",258.0
"Lee Unkrich (born August 8, 1967) is an American director and film editor. He is a longtime member of the creative team at Pixar, where he started in 1994 as a film editor. He later began directing, first as co-director of Toy Story 2. After co-directing Monsters, Inc., and Finding Nemo, Unkrich made his solo directorial debut with Toy Story 3, for which he won the Academy Award for Best Animated Feature in 2011. Unkrich is the 2011 recipient of University of Southern California's Mary Pickford Distinguished Alumni Award recognizing alumni contributions to the cinematic arts. With the award, Unkrich joins a list of distinguished USC alumni including Robert Zemeckis, Walter Murch, Jon Landau, Gary Rydstrom and Jay Roach.

A native of Chagrin Falls, Ohio, Unkrich spent his youth acting at the Cleveland Playhouse. Unkrich graduated from the University of Southern California School of Cinematic Arts in 1990. Before joining Pixar in 1994, Unkrich worked for several years in television as an editor and director.

Description above from the Wikipedia article Lee Unkrich, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1967-08-08",,2,"Lee Unkrich","Cleveland, Ohio, USA",125.0
"Joseph McGinty Nichol, better known as McG, is an American director and producer of film and television. He began his career in the music industry, directing music videos and producing various albums. He later rose to prominence with his first film, Charlie's Angels.","1968-08-09",,2,"McG","Kalamazoo, Michigan, USA",368.0
"James Wan is a Malaysian-born Australian producer, screenwriter, and film director of Chinese heritage. He is widely known for directing the horror film Saw and creating Billy the puppet. He also directed Dead Silence, Death Sentence and Insidious.  Description above from the Wikipedia article James Wan, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1977-02-27",,2,"James Wan","Kuching, Sarawak, Malaysia",0.0
"Jeffrey Jacob Abrams, better known as his screen moniker J.J. Abrams, is an American film and television producer, screenwriter, director, actor and composer.   

Best known for his work in science fiction and action genres, Abrams (co-)created multiple award winning television series, including: Felicity, Alias, Lost, Fringe, Undercovers, Person of Interest and Revolution.   His film work includes the late 2000s reboots of beloved film series such as Star Trek, Star Wars, and Mission: Impossible.   Many of the films he has contributed to are distributed by  Paramount Pictures, while his television series are, generally, co-produced by either  Warner Bros. Television  or  Touchstone Television. Abrams' frequent creative collaborators include writers  Alex Kurtzman  and  Roberto Orci, composer  Michael Giacchino, cinematographers  Daniel Mindel  and  Larry Fong, and editors  Maryann Brandon  and  Mary Jo Markey.   

Abrams was born in New York City, but raised in Los Angeles, the son of television producer Gerald W. Abrams and executive producer Carol Ann Abrams (n  e Kelvin).   He attended Palisades High School and Sarah Lawrence College.   Abrams' first movie business job came at the age of 16, when he wrote music for Don Dohler's film Nightbeast.   During his senior year at college, he teamed with Jill Mazursky to write a feature  film treatment later used as the basis for  Taking Care of Business, Abrams' first produced film. Abrahms continues to create major television and motion picture pieces under his production company, Bad Robot, founded in 2001 with Byran Burk.     

Description above provided by and modified from the Wikipedia article J. J. Abrams, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-06-27",,2,"J.J. Abrams","New York City, New York, USA",14000.0
"Mark Anthony ""Baz"" Luhrmann (born 17 September 1962) is an Australian film director, screenwriter, and producer best known for The Red Curtain Trilogy, which includes his films Strictly Ballroom, William Shakespeare's Romeo + Juliet and Moulin Rouge!. In 2008, he released his film Australia, starring Hugh Jackman and Nicole Kidman.

Description above from the Wikipedia article Patricia Baz Luhrmann, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1962-09-17",,2,"Baz Luhrmann","New South Wales, Australia",1000.0
"Michael Cormac ""Mike"" Newell (born 28 March 1942) is an English director and producer of motion pictures for the screen and for television. After the release of Harry Potter and the Goblet of Fire in 2005, Newell became the third most commercially successful British director in recent years, behind Christopher Nolan and David Yates, as confirmed by the UK Film Council in their 2010 Statistical Yearbook. Newell won the BAFTA Award for Best Direction in 1994 for Four Weddings and a Funeral and the BAFTA Britannia Award for Artistic Excellence in Directing for his career prior to 2005.

Description above from the Wikipedia article Mike Newell (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1942-03-28",,2,"Mike Newell","St. Albans, Hertfordshire, England, UK",179.0
"Guillermo del Toro (born October 9, 1964) is a Mexican director, producer, screenwriter, novelist and designer. He is mostly known for his acclaimed films, Pan's Labyrinth and the Hellboy film franchise. He is a frequent collaborator with Ron Perlman, Federico Luppi and Doug Jones. His films draw heavily on sources as diverse as weird fiction, fantasy and war.

Description above from the Wikipedia article Guillermo del Toro, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1964-10-09",,2,"Guillermo del Toro","Guadalajara, Jalisco, Mexico",0.0
"Steven Allan Spielberg (born December 18, 1946) is an American film director, screenwriter, producer, and studio entrepreneur.

In a career of more than four decades, Spielberg's films have covered many themes and genres. Spielberg's early science-fiction and adventure films were seen as archetypes of modern Hollywood blockbuster filmmaking. In later years, his films began addressing issues such as the Holocaust, the Transatlantic slave trade, war, and terrorism. He is considered one of the most popular and influential filmmakers in the history of cinema.  He is also one of the co-founders of DreamWorks movie studio.

Spielberg won the Academy Award for Best Director for Schindler's List (1993) and Saving Private Ryan (1998). Three of Spielberg's films   Jaws (1975), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993)   achieved box office records, each becoming the highest-grossing film made at the time. To date, the unadjusted gross of all Spielberg-directed films exceeds $8.5 billion worldwide. Forbes puts Spielberg's wealth at $3.2 billion.","1946-12-18",,2,"Steven Spielberg","Cincinnati - Ohio - USA",14000.0
